polarity,text,Positive/Negative/neutral
0.4333333333333333,i finish last ep honest yo episod good i wasnt expect,Positive
0.0,star academi hotd,Neutral
0.0,spoiler context,Neutral
0.0,the thing i kept think end ep hell would anyon know,Neutral
0.0,and ofc ramen last ep,Neutral
0.05,aemond final hbo omg wow shock surpris done episod ep,Positive
0.0,star academi hotd hous,Neutral
0.0,just finish last ep season wait two year,Neutral
0.5,just finish episod i absolut love show amp oh boy cliffhang,Positive
-0.05,noooooooo need end herehouseofdragon pleas one ep cant wait long,Negative
0.0,spoiler without context ep,Neutral
0.0,that crazi season ep,Neutral
-0.25,all emot ep season final anxious happi horrifi disturb hurt sad ang,Negative
0.2714285714285714,yknow i didnt expect enjoy much i i certain didnt expect like much mor,Positive
0.0,sara hess see even ep daemon still fan favorit,Neutral
0.0,sara hess see even ep daemon still fan favorit,Neutral
0.0,shittiest thing abt ep rhaenyra consid otto say emot abt damn pa,Neutral
0.0,ryan condal amp greg yaitan master tie togeth mani storytel element laid,Neutral
0.0,still rhaeni bust dragon pit floor ep omg,Neutral
0.0,emma darci serv outstand perform throughout ep give award,Neutral
0.0,im final watch ep almost finish im scare someth crazi gonna happen,Neutral
0.0,just finish nowread lot negat comment final ep someon,Neutral
0.0,houseofdragon writer fuke write inconsist especi ep it wasnt act,Neutral
0.0,just watch ep funni thing targaryen creativ name sonsthey might avoid war,Neutral
0.0,am i dramat prophet dream i fall asleep rewatch,Neutral
0.0,just watch ep amp god i instant googl season air bend knee queen rhaenyra,Neutral
-0.10000000000000002,final wow poor know damn also princess like daeneri ep,Negative
0.0,that birth scene last ep couldnt breath,Neutral
0.6,guess im the onli one that love and understood this ep good job,Positive
0.0,just watch ep amp back back goooooseeeeebumppsss year wait will i still be,Neutral
0.7,this ep was soooo good,Positive
0.0,watch hotd ep wlw len oh alic keep tri save babi girl rhaenyra chop,Neutral
0.0,anoudegozaruna i start watch ep there like episod this fulfil watc,Neutral
0.0,the i think ep i hear writer lower score sink,Neutral
-0.2,wait fuck minut ep season final that end season,Negative
0.07142857142857142,last ep certain cliffhang tbh cant wait next season,Positive
-0.1,shit scene last ep alway shock ppl,Negative
0.0,ep hous dragon sad i cri alreadi too much love one die,Neutral
-0.2,emma darci doesnt get emmi nomin lose shit perform ep insan,Negative
0.3181818181818182,new recap ur fav love u messi bitch,Positive
0.0,finish tomorrow bc i cant stomach rest rn ep amaz,Neutral
0.5,both milli alcock amp emma darci aka rhaenyra they fantast top episod the lord of the t,Positive
0.0,just saw ep found absolut awesom,Neutral
1.0,the best scene ep queen flew princess dagger hand the stake ar,Positive
0.16249999999999998,love first season i still think move fast ep felt like end season least,Positive
-0.3125,hous dragon end like gonna let us wait last ep mad,Negative
0.0,ep tear,Neutral
-0.15000000000000002,catch last ep ep prove show slow spend time wit,Negative
0.16666666666666666,hous dragon definit got better last episod final ep awesom,Positive
0.35,what disappoint the entir season one im honest massiv jump term timelin action we,Positive
0.25,i incredibi sceptic need thing first coupl ep didnt help matt,Positive
-0.06666666666666667,just finish watch ep i depress,Negative
-0.08333333333333333,such pointless write unbeliev hboand woke pander decid final,Negative
0.45,this ep great loss too young die,Positive
0.0,yoooooo now wayyyi the ep end there,Neutral
0.13333333333333333,finish season final realli enjoy cant wait next seasoni thoug,Positive
0.0,just watch damn,Neutral
-0.5,dont think ill abl recov ep,Negative
0.25,finish first season a better final ep couldnt written cant wait,Positive
0.0,the end ep suppos take place dragonston throne room couldnt build the trailer,Neutral
0.13636363636363635,woke new ep wait,Positive
0.2,the i think i appreci it real luxuri let charact,Positive
0.19318181818181818,first sunday without new ep,Positive
0.0,final bonker especi sinc came foot fetish scene ep is help kink,Neutral
0.0,ep nutshel,Neutral
0.0,abba ep lo alic entri emanna entri aa baga nachindi,Neutral
0.6,omg is so good so glad i wait episod ep,Positive
0.0,yesterday i done watch must say viseryss charact impress th,Neutral
0.25,ep daemon hot,Positive
0.5,celindelouisa wait there scene fight ep hair definit im sure ive never seen,Positive
0.23214285714285715,where exact claim grrm writer ep come i certain there one writer ep,Positive
0.0,it ep tsl we ton talk final review amp,Neutral
0.0,it almost time famili abund ep drop time trust life chang ep,Neutral
0.0,watch disclaim ive never watch got v v sus otto intent current ep,Neutral
0.0,rewatch ep could storm rage neither dragon could hear boy said becaus,Neutral
0.8,ep archer stormtroop aim lol,Positive
0.0,final watch ep im realli hype season,Neutral
-0.2,ep the last scene horrifi poor lukelov accid calcul,Negative
0.0,the usurp iron throne,Neutral
-0.4,keep music game throne stroke genius still send shiver spine throughout ep,Negative
0.0,final watch final ep last dragon scene devast but deserv,Neutral
-0.3333333333333333,sara hess say shallow wordsthey never expect daemon charact fan favourit reactio,Negative
0.0,not watch ep time,Neutral
0.35,just imagin oka full ep dragon kottukunt ela untadomad wait danc dragon,Positive
-0.2,emma darci doesnt get emmi nomin lose shit perform ep insan,Negative
0.16,ep hous dragon traumat in high valyrian,Positive
0.0,lose kid one ep heart cant cope,Neutral
0.0,watch ep mom one commentari kill ep end sat,Neutral
0.09107142857142857,nah final bit much cliff hanger certain long wait,Positive
0.20833333333333334,pretti okay season better aw weak ep amp though throne show,Positive
0.0,if anyth take hous dragonsdont swing someon bigger,Neutral
0.05,dude final ep epic,Positive
-0.0166666666666667,so the last ep not bad but fuck end and need wait,Negative
0.04999999999999999,glad im one confus as fuck thisth save gr,Positive
0.07878787878787878,season final phenomen epic sendoff amp new ep,Positive
-0.8,i hate,Negative
-0.3,idk goosebump ep def fave seri late,Negative
0.10714285714285714,ep the final absolut incred product certain shot episod either bone ch,Positive
0.0,i hope wasnt one watch bts ep remind movi,Neutral
0.0,that scene vhagar ep gave jurass park vibe am i one,Neutral
0.0,im watch last week ep liter minut im readi fight queen,Neutral
0.0,ayipoindhi noth look forward next week,Neutral
1.0,best halloween costum,Positive
0.0,the monster your becom,Neutral
-0.2,mani candid worst wig definit,Negative
0.11818181818181818,they realli make live action shrek,Positive
0.0,one illustr i the rise dragon probabl illustr took longest fin,Neutral
0.0,i looooooov daemon omg hes legend,Neutral
0.0,wait season like,Neutral
0.8,this scene lol,Positive
0.0,the dragon hous targaryen size asoiaf,Neutral
0.0,alway low qualiti video damn,Neutral
0.0,the volum technolog use,Neutral
0.0,should i shower stream,Neutral
0.0,houseofdragon peopl say would seiz crown yet bestow upon brother wife,Neutral
0.0,excit announc amp i host offici gameofthron buildyourrealm twitter space feat jos,Neutral
0.8,cor velaryon great line share thesehistori doesnt rememb blood remem,Positive
0.5,im go miss matt smith milli alcock press togeth ridicul cute http,Positive
0.0,this moment,Neutral
0.0,i final got,Neutral
0.0,we need man look us like aemond look murder,Neutral
0.0,two delet scene episod rhaenyra confront alic betroth king viseri rhaenyra forc,Neutral
0.0,the crown dress alic hightow would worn delet scene prepar marri king viseri,Neutral
0.48333333333333334,the vultur king one illustr ive done im particular proud one bc i,Positive
-0.2,see shit season miss emot context,Negative
-0.8,i hate this iguana ass bitch,Negative
0.0,and final close thought season one thank come along ride it,Neutral
0.0,life imit art,Neutral
0.0,this insan,Neutral
1.0,hous dragon season probabl best debut season seri ive seen,Positive
-0.04999999999999999,i didnt think i could love got theme hous targaryen hous velaryon theme cold,Negative
0.05000000000000002,while wait if your interest engag targaryen lore well asoiaf general confus,Positive
0.0,daemon aemond like,Neutral
0.0,if anyon need us well bing,Neutral
0.0,but lowkey alway root princ daemon ive watch matt smith the crown th,Neutral
0.0,aemond targaryen everi scene,Neutral
0.0,elonmusk i want iron dragon robot intellectu capabl like robot,Neutral
0.0,still work progress like detail one,Neutral
0.0,from photo artwork i hope like,Neutral
0.0,the horror scene beyond word describ,Neutral
0.0,still work progress like detail one,Neutral
-0.25,alien superstar,Negative
0.31785714285714284,the coron queen rhaenyra targaryen true right heir the iron throne,Positive
1.0,hbomaxnord fearless power flawless,Positive
0.5,hous dragon get better pass episod week i hope show get renew,Positive
0.0,doesnt want lose subscript acquir follow end univ,Neutral
0.39999999999999997,alic charact actual amaz real caus repres perfect religi peopl claim de,Positive
0.20000000000000004,carax the blood wyrm carax red huge lean in battl formid fearsom experienc duri,Positive
0.0,just two danger handsom men westero bhaiput,Neutral
0.37777777777777777,i love harvin strong much,Positive
0.0,fundament chang loom targaryen civil war start,Neutral
-0.25,yeah im not okay https,Negative
0.8,how talk crack sometim lol,Positive
0.0,olivia cook beauti,Neutral
0.35,everyon tri eat good timeaemond zero reason everi two second,Positive
-0.5,ill miss tv fam,Negative
0.0,i want season come alreadi,Neutral
0.0,this scene beauti,Neutral
0.0,daili dose aemond targaryen,Neutral
-0.2,im behind truli hope last coupl episod rhaenyra becom queen i envis i hav,Negative
0.35,cast hotd love fabien frankel minut straight,Positive
-0.30000000000000004,showrunn ryan condal say season deliber slow downseri two hit rhythm,Negative
0.0,fire fire,Neutral
0.0,we alway meant burn togeth,Neutral
0.0,belat final thought lot polit go caught bloodi eggon bl,Neutral
0.0,i extrem happi video im get readi releas not feet instead merri h,Neutral
0.8,grandpa favoritealic pride helaena joy otto lol jk,Positive
0.0,obsess aemond targaryen,Neutral
0.0,end day still targaryen women supremaci said said,Neutral
0.225,i knew lil hot n readi gone screw uncl wait whole life,Positive
0.275,how cool could modern map like this hous dragon sn,Positive
0.0,woo last plot crazi,Neutral
1.0,best cast ever,Positive
0.0,here there be dragon season introduc awesom dragon there still plenti havent seen c,Neutral
0.0,final finish daemyra wed commiss i couldnt happier cant wait see next episod,Neutral
0.5,daemon rhaenyra fanart cute episod,Positive
0.0,this becom favourit scene show i cri watch entir episod kudo paddi considin,Neutral
0.1,hous of the dragon wow that simpli phenomen drama,Positive
0.7,i hope good time share commiss wip,Positive
0.6833333333333332,hous the dragon perfect exampl zero expect reward great first season still fin,Positive
0.25,this gave veri much need laugh,Positive
0.0,hop train i lose mind draw,Neutral
-0.15,hous dragon ep review too dark for televisionliter via youtub,Negative
0.25,current daemon targaryen love charact,Positive
0.2,hope enjoy final got meet boy hbomax,Positive
1.0,best episod season,Positive
0.0,daemon rhaenyra targaryen fanart im excit episod,Neutral
0.0,daemon rhaenyra fanart im never get scene,Neutral
0.5,beauti fall love,Positive
0.0,carax absolut delight watch,Neutral
-0.6,that awkward moment read ahead see happen,Negative
0.25,final caught wooo got ok,Positive
0.5,she soooo cute too precious us,Positive
0.2,i like hous dragon much i decid make daemon show progresshouseofdragon,Positive
0.25,wow actual sound godlik pleas give whatev money time need im sure gofund,Positive
0.7,this good,Positive
0.8,episod review episod great polit machin aemond dragon th,Positive
0.7,it realli good,Positive
0.0,need this on spotifi,Neutral
0.0,my thought final next season i support rhaenyra war crime i said i said,Neutral
0.0,i support rheanyra war crime next season,Neutral
0.2,when think abt fact otto knew rhaenyra whole life watch daughter play child yet coul,Positive
0.0,i absolut love entir war start prank gone wrong lmfao,Neutral
0.0,the horror scene beyond word describ,Neutral
-0.13333333333333333,i need see burn green next season shit even hitch ride baela jace need r,Negative
-0.14583333333333334,let watch final caus yall tri hard spoil,Negative
0.0,somewher heaven ryancorr,Neutral
0.0,tri explain friend show dragon incest cri sunday,Neutral
-0.4,so matt smith behind emot scene daemon pick viseri fallen crown also one daemon te,Negative
0.0,everyth she doe after this point is valid warrant legitim justifi fight me https,Neutral
-0.8,never thought would come point would hate dragon got univers,Negative
-0.7142857142857143,this sick shot,Negative
0.0,me readi support rhaenyra war crime next season,Neutral
0.0,daeneri innoc it drogon,Neutral
-0.4,after stress cliffhang i wait two year fuck incest dragon show ht,Negative
0.0,im gonna need lot emot support get,Neutral
0.0,heir iron throne,Neutral
-0.4,hous fuck dragon,Negative
0.1,season epic,Positive
-0.4,it moment knew fuck,Negative
0.0,elliot grihault walk onto set serv everyth need ten minut screen time spoke beauti valyri,Neutral
0.175,episod season final traumat my sweet littl boy,Positive
0.0,feel relev last night,Neutral
0.0,yeah caus get dragon next season broccoli built bitch done period,Neutral
0.24444444444444444,jamalrodayna extrem talent mental strong fit she move mountain achiev imposs traget,Positive
0.0,the amount daemon scene cut last episod insan the scene train battl mour,Neutral
0.0,this cast everyth,Neutral
0.8,jamalrodayna what great classi actress,Positive
0.0,the absolut beauti detail,Neutral
0.0,must exhaust alway root antihero,Neutral
0.4,emma darci thank deliv us perform lifetim the struggl pain steadfast queen rhaenyra,Positive
0.0,i forev defend support war crime it justifi,Neutral
0.5,daemon rhaenyra hold hand happi comfort love pain,Positive
0.0,see come aliv book insan,Neutral
0.0,fire blood,Neutral
0.2,kingsgener pretti much spoil seri i disappoint h,Positive
0.0,final hbos biggest final sinc,Neutral
-0.21904761904761905,i support women right wrong ill support next season fuck shit rhae,Negative
0.0,chrisconkl i cant wait bing,Neutral
1.0,happen best us,Positive
1.0,best charact,Positive
0.5,big thank elliot grihault perform luceri velaryon probabl perfect perform could ha,Positive
-0.4,never episod fuck,Negative
-0.3458333333333333,i theori hous dragon aint hit hard game throne caus nobodi make tik tok te,Negative
0.0,damn,Neutral
0.0,season final drew million viewer make hbos mostwatch seri final sinc predecessor ser,Neutral
0.65,idkkkk love lot rhaeni bitch lol,Positive
-0.053571428571428575,account support right total readi support wrong next season,Negative
0.0,daemon humor unmatch,Neutral
-0.4,aemond fli away storm end royal fuck,Negative
-0.16666666666666666,i rate hous dragon the black queen imdb,Negative
0.0,how i just now realiz helana dragon name dreamfyr damnit georg,Neutral
0.0,arrax luceri doesnt deserv,Neutral
-0.20000000000000004,my thought final catch ep amp green fuck daemon,Negative
0.0,this scene i could mani time i think took dragon face aemond,Neutral
0.35,otto hes true kingdaemon,Positive
0.0,everyth scene icon http,Neutral
0.06818181818181818,new ep winter crappen season final and now we danc w ronniekara,Positive
0.05,they turn littl bro lunchabl i still expect action season final,Positive
0.0,season god tier that,Neutral
0.0,i support war crime next season queen,Neutral
0.175,the last min intens i headach i fulli support go full,Positive
0.0,aemond know daemon come kick ass next season,Neutral
0.5799999999999998,season great reviv game throne best way possibl good write great performan,Positive
0.0,think i die,Neutral
0.25,spoiler in link first season memor it lot ride suffic say,Positive
0.01666666666666672,ive seen four articl trend bad i love first seasonc wait oo,Positive
-0.4,i dont want hear pin drop start smoke ass caus go fuck valid,Negative
0.25833333333333336,even first scene first episod could tell go good could tell first scene ring power go terribl wont see ridicul rocksinkingexplan hous dragon actual written adult,Positive
-0.2,hous dragon deliv everyth took note game throne fell short definit recommend your interest revisit westero,Negative
0.02857142857142858,fredrick broome 5 star dolbi atmos review unit state octob 27 2022 at least didnt wait special edit get this 4 peopl found helpful helpful report abus,Positive
0.02857142857142858,least didnt wait special edit get,Positive
0.12592592592592589,hate game throne love hous dragon get man look like harwin strong look rhaenyra come back hunt parent rais kid like willem blackwood sympathi poor court iminstrel left repeat lead best soap opera stuff background charact win show,Positive
0.07166666666666666,realli want spinoff pick along thread entertain got offer us world corpor formula excess woke agenda worri cross checkbox eben consid charact devedlop storylin plot even view pleasur pace weak stori strangl whatev life could undertak switch actor help noth bold got nowher found yet find incest rape homosexu devianc front center everi scene much better way invest time money doa,Positive
0.4444444444444444,hbos qualiti keep give well cast fantast scriptstori line loyal book visual effect costum perfect rate 55,Positive
-0.13272727272727275,cant compar origin 8 season game throne new seri bore everi episod drama within hous dragons th 8 season game throne seri display multipl drama throughout kingdom made interesting font wast money save money havent bought 8 season disc 4k hous dragon fail shame,Negative
0.0,seri absolut excel preorder except done,Neutral
-0.049999999999999996,watch first three stop actor select charact terribl charact develop poor woke hell everyth cater select crowd sceneri par lord ring spent enough money impress cgi either spent enough lead edg cgi everyth standard lower amazon sue develop provid paid,Negative
-0.2,ever green lit choic chang actor ruin show,Negative
-0.019999999999999997,remov problemat moral aspect gratuit sex whore misogyni rape rampant bloodi violenc game throne hous dragon bore tedious drab humorless vapid insipid gray adventur torment cipher like princess surround total forgett male charact engag narrat one care fact way femal charact made interest make male charact insipid blank women seem dynam comparison cersei lannist would eaten gray women breakfast tyrion lannist would skewer haughti commentari droll iron observ worth point although daeneri targaryen mani way compel charact also mani way bore joyless pill make entir seri joyless seem almost bloodless cipher like ancestor doesnt seem like good idea hbo fire lot peopl fire everi execut oke seri go product,Negative
0.0,sigh,Neutral
0.08571428571428572,would give show 5 star easi good act topnotch look beauti write far exceed expect knock star mani delet scene ad least far see im go wait see releas anoth one later i would recommend anyon least episod 8 wont mention spoiler well worth anyon time,Positive
0.2006060606060606,brad toper terr book excel show review unit state octob 30 2022 from person read got book hous dragon book pretti inform opinion book terribl show lot live exceed expect plot strong charact develop quick thing dont like chang charact time jump big shoe expect fill tell weve seen far noth mani dragon lot fight cant wait season 2 7 peopl found helpful helpful report abus,Positive
0.2006060606060606,person read got book hous dragon book pretti inform opinion book terribl show lot live exceed expect plot strong charact develop quick thing dont like chang charact time jump big shoe expect fill tell weve seen far noth mani dragon lot fight cant wait season 2,Positive
-0.075,disappoint final season game throne hous dragon manag exceed expect seri especi huge daeneri targaryen fan though limit perspect unlik predecessor somehow show feel massiv epic stori tell product design etc isnt fight chanc sit throne complex polit power patriarch struggl along ad struggl plagu everi familyeven dragon make show feel human game throne mayb that speak soon especi consid last episod,Negative
-0.15250000000000002,someon read book show base everi season origin show ive got give show mad prop redeem seri origin season 8 follow book materi almost word wordscen scene major creativ differ love far cant wait see danc dragon season 2,Negative
0.26249999999999996,excel show hbo nail one game throne end year ago dragon honest cool much better look time around look forward season 2,Positive
0.7,show realli good term write act cast dialogu im happi georg connect project,Positive
0.3,fan game throne prime show turn 11 wont spoil anyth happen best season tv show ever made,Positive
0.16,show amaz brilliant prequel game throne honest love hate charact think end got disappoint season unfold get reinvest world cannot wait season 2 come need hurri get film watch happen targaryen hightow,Positive
0.0,well written prequel seri everyon would recommend give chanc,Neutral
0.4125,everi episod excit see next episod know good episod littl disappoint felt like lot happen also felt like end season littl predict hope first season set rest pace good content pick,Positive
0.09999999999999998,une srie aussi bonn sinon meilleur que game throne je nattend que de pouvoir regard la second saison parc quil tellement de bell chose quil peuvent fair,Positive
0.47500000000000003,normal cup tea well structur great screenplay,Positive
0.013888888888888886,look forward season gd show extent stori jump place fast year past dialogu carrictor arent expect slow stori quiet slow seem go nowher long soon shock last origin carrictor game throne captiv 90 percent want know what next isnt near tell stori ahead time bit easi read ahead mabe bein bit hars make past 5 episod would quiet shock dont hold back budget dragon etc outstandingbit look quiet good even bit short most battl arent well cartograph head state arent fun think lack alot,Positive
0.4,amaz plot act set cgi paddi considin deserv golden globe love,Positive
0.5,love show love dragon love matt smith charact need episod soon,Positive
0.0,absolut phenomen breathtak scene intrigu storylin absolut beauti show altogeth,Neutral
0.6666666666666666,better expect great act good dialogu episod 8 incred downsid seem littl rush cant wait season 2,Positive
0.4000000000000001,peopl complain lack action isnt rush movi isnt rush season 8 commit seri set incred way tension action come rememb got didnt much action season 1 either cast great stori plot great effect better got easi 5 star hope continu good isnt rush give peopl scream action,Positive
0.24047619047619045,realli good although could littl slow sometim got could switch actor bit weird first quick forgot pretti good show kept get better episod,Positive
0.425925925925926,singl episod wait episod well written kept intrugu whole time look forward everi sunday night much action specif battl scene expect stori interest lot plot twist cinematographi amaz cgi lot intrigu charact good act around might complain odd age throughout time jump didnt bother troubl would gone make everythingeveryon look perfect would impract unnecessari dragon look great sound great want final episod still plenti satisfi cant wait season 2,Positive
0.08541666666666664,amaz show went first episod bitter last season game throne readi super critic noth hate good incred engag intric stori line hope spin off got good,Positive
0.4166666666666667,fine coupl moment fantast realli like charact would thing made sens steph explain went book,Positive
0.8,great show well written setup charact drama surround iron throne,Positive
0.1,dramat littl action expect,Positive
0.8,great show peopl amazon need take note make great show stay lore keep write close origin 1010 cant wait season 2,Positive
0.3229166666666667,love seri excel plot excellect act never dull moment cant wait till season 2,Positive
0.7000000000000001,amaz great awesom disturb lol love,Positive
0.0,excit got never feel like well done,Neutral
0.17073002754820935,didnt watch got hod 5 star get underwhelm stori underwhelm level drama tension viseri rhaenyra other get older daemon other dont dont see nice attent detail daemon honest get bit fatter sir christian probabl immort sinc look fresh first day charact outlin well though due stori spread mani year didnt perceiv charact close got didnt like like ambienc music act much level got say element like heritag someth new introduc show,Positive
0.35833333333333334,although time jump take immers point hotd fine return form got franchis season definit worth watch produc amazon must worri,Positive
0.020370370370370386,realli complex lot charact need pay 100 attent youll lost pretti quick what amaz everi singl charact sympathet even theyr terribl cruel alway understand motiv dont violent sociopath love murder fun like got improv eye see two generat first children adult give thorough understand charact think great format show 12 star lari foot scene,Positive
0.0787037037037037,didnt like actor chang first episod didnt like scene dark see happen didnt like lot dialogu low volum voic mumbl make hard understand said shouldnt need watch show close caption im tri watch show read mani charact didnt seem know posit place presenc someon greater stand power felt like portray insol could done subtl covert manner order drive intrigu suspens didnt finish season 1 consid tri fact even tri talk continu watch showthen find season 2 wont air sometim 2024 final nail coffin sure wont wait year watch anoth season product that alreadi difficult watch enjoy im go reluct watch anyth els hbo put futur well,Positive
0.19523809523809524,write may good decent overal show bore least compar got well doesnt compar hotd got time jump didnt work make show better vice versa drew away charact realli didnt care one charact show hope season 2 much action pack includ interest plot scheme like watch got season 67 seem there much go thing move forward actual charact still mani year plot charact,Positive
-0.009259259259259281,disappoint first season gone mani issu aris charact bold presenc someon power show doesnt seem realist charact know place genet next generat emot run stronger powerrespectrag show slow enough action expect game throne seri season super drawn often time end minim advanc stori watch show expect anywher jaw droppingexhilaratingplot twist game throne also disappoint hear season 2 air 2024,Negative
0.0875,hbo wont film anyth darkest set dialog mumbl low volum jump 30 year inbetween episod chang actor roll alreadi whoever call shot go back film school everi scene damn dark point cant see what go could better flipphon,Positive
0.1,casa drago srie derivada de guerra dos trono se mostra uma produo menor que seu predecessor com meno personagen loca histria paralela reviravolta e entusiasmo primeiro episdio ficou muito ntido desejo de chocar pblico com cena mai fort e intensa que decorr da temporada vo ficando meno frequent e vez ou outra utilizada os drage um show quando aparecem mas em alguma cena possvel perceb reduo oramento trazendo um bom realismo em sua cena e em algun cenrio e efeito especiai mas ainda sim uma boa primeira temporada capaz de entret telespectador primeiro ltimo episdio,Positive
0.4166666666666667,dont need see got understand someth realli appreci episod 1 actor stori catch full intent climax get point say wow great qualiti sens cant wait season 2,Positive
0.3888888888888889,best part seri open anim music episod unlik charact especi older rhaenyra targaryen,Positive
0.16,great show although last episod felt like episod final actual final dont feel like given adequ season one closur,Positive
0.325,great start expand content westero act felt good minor except gotlevel set product encapsul grand scale world without reli basic establish shot like ring power storylin compel lack huge setpiec battl brought nostalgia first season got lot time jump charact necessari time made lose connect charact constant chang overal excit seri progress got spinoff go,Positive
0.2333333333333333,must see fan game throne love everi episod cast spectacular 100 watch come time season 2,Positive
0.4535714285714286,hous dragon best fantasi seri detail worldbuild full rich imagin charact hot princ daemon targaryen matt smith gave one best perform career milli alcock portray young princess rhaenyra targaryen captiv thrill throughout dragon wow,Positive
0.48333333333333334,excess timeskip good stori tell stori told there littl charact develop would much better skip first 5 episod start episod 6 includ flashback mayb could charact develop,Positive
0.04999999999999999,1 season hous draon better 1 season game throne,Positive
0.8,excit see rest seri great start,Positive
-0.19000000000000003,horribl act horribl cast horribl stori tell fact random chang main charact half way made show even joke ur game throne fan high recommend skip rewatch game throne,Negative
0.0,thought well done im enjoy everi bit much game throne fact episod action pack drag way disappoint didnt get episod 11 hope season 2 sooner later,Neutral
